                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7013,                 2.2518,                 1.4957,                0.95841,                0.19292,                 0.5278,                0.28608,                 1.6201,                    inf,                 1.4332,                0.07075,                0.00325,                0.00325
                      1,                 1.6308,                 1.2863,                 1.3935,                0.94633,                0.28497,                0.51164,                0.28195,                 1.7465,                    inf,                 1.6181,                0.04062,               0.006453,               0.006453
                      2,                 1.6235,                 1.1761,                 1.3815,                0.79307,                0.39214,                 0.4935,                0.25524,                 1.8653,                  2.185,                 1.6627,               0.010357,               0.009524,               0.009524
                      3,                 1.6156,                 1.1313,                 1.3856,                 0.7577,                0.49338,                0.55215,                0.29504,                 1.8442,                 1.7696,                 1.6825,               0.009406,               0.009406,               0.009406
                      4,                 1.5997,                 1.0762,                 1.3844,                0.67677,                0.47479,                0.52185,                0.27342,                 1.9626,                 1.7256,                 1.7974,               0.009406,               0.009406,               0.009406
                      5,                 1.5811,                 1.0355,                 1.3695,                0.65688,                0.42407,                0.48385,                0.25544,                 1.9167,                 1.8167,                 1.7722,               0.009208,               0.009208,               0.009208
                      6,                 1.5727,                 1.0073,                 1.3683,                0.82921,                 0.7278,                0.80975,                 0.4307,                 1.6518,                  1.026,                 1.4182,                0.00901,                0.00901,                0.00901
                      7,                 1.5528,                0.97553,                 1.3567,                0.85347,                0.57769,                0.67293,                0.36898,                  1.678,                 1.3462,                 1.5105,               0.008812,               0.008812,               0.008812
                      8,                 1.5501,                0.97312,                 1.3591,                0.84821,                0.66968,                0.77705,                0.42582,                 1.6197,                 1.0865,                 1.4046,               0.008614,               0.008614,               0.008614
                      9,                  1.542,                0.94001,                 1.3508,                0.82357,                0.67952,                0.77486,                0.41766,                 1.6404,                 1.0816,                 1.4477,               0.008416,               0.008416,               0.008416
                     10,                 1.5326,                0.92863,                 1.3444,                0.84539,                0.67496,                0.77579,                0.42183,                 1.6398,                 1.0966,                  1.436,               0.008218,               0.008218,               0.008218
